what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446277656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446302433
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1423446302448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446302994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446347227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446348273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446365150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446365774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446378098
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1423446379065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446382653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446385960
started,bundle,com.altera.debug.cdi.gdb.plugin,12.1.1.243,"com.altera.debug.cdi.gdb.plugin",1423446395117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446395227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446406349
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1423446406365
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1423446407675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446407956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446417051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446429698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446430681
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1423446431149
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1423446432475
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1423446433239
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1423446437625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446440105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446440963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446441181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446445409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446445971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446567522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446569224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446570229
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423446570311
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1423446570647
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1423446570686
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.1.1.243,"com.altera.debug.cdi.gdb.plugin",1423446570686
stopped,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1423446571647
stopped,bundle,com.altera.sbtgui.ui,12.1.1.243,"com.altera.sbtgui.ui",1423446571647
stopped,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1423446571647
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1423446571647
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1423446571647
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1423446571647
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1423446571647
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1423446571647
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1423446571647
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1423446571664
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1423446571669
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1423446571669
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1423446571691
