what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1426310772916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426310773384
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426310776675
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426310777424
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426310778329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426310792075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426310875349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426310877611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426310878469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426310891464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426310906443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426310908627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426310954580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426310954970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426310995806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426310998302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311010987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311013187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311014741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311015434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311016354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311017025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311018148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311019396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311057836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311061205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311114681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311115258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311170237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311173450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311852616
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426311853673
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1426311854535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311854801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311885182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311885505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311891266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1426311894002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311894212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311897330
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426311898710
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1426311902562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311902765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311921349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1426311924666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426311924900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426312002036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426312005132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426312072521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426312072883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426312271478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426312271727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426312272258
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1426312275174
