what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1424225632803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424225633552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424225641617
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1424225642210
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1424225642210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424225642491
opened,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1424225644129
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1424225644300
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1424225644300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424225645611
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424225648248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424225693536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424225694269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424225694519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424225816058
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1424225818281
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1424225820229
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1424225836014
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1424225840803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1424225842214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424225842533
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1424225853150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424225858854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424225859873
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1424225860015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424225860064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424225864638
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424225872201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424225884802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424225888977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1424225890364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424225891588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424225891807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424225906452
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1424225908824
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424225909027
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1424225911294
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1424225916670
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424225917003
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1424225920143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1424225923175
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424225924187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424225927626
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1424225928127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424225930816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424225932901
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1424225933034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424225933060
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1424225934316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424225935084
