what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1424232054613
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1424232054619
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424232075542
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424232091850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424232095465
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1424232102895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424232105175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424232107270
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1424232107405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424232107451
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1424232108702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424232109459
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1424232109462
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1424232113297
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424232114057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1424232364294
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1424232365748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424232380829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1424232395404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1424232398188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424232398664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1424232398677
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1424232399125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424232402511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1424232403771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424232404175
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1424232404187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1424232404387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424232437179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424232442550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424232470218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1424232472943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424232473290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1424232473303
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1424232473471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424232474450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424232475018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1424232475031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424232493577
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424232494155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424232497115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424232547645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424232566274
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424232571266
